DistrictNCES,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,Population,Confirmed_Cases_Sept1_Nov17
4840890,Southland Independent School District,Public,Southland,TX,162.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,5951,5
4841010,Spearman Independent School District,Public,Spearman,TX,854.0,Hybrid,Yes,No,Unknown,Unknown,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,5399,5
4841010,Spearman Independent School District,Public,Spearman,TX,854.0,Hybrid,Yes,No,Unknown,Unknown,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,20938,10
4841010,Spearman Independent School District,Public,Spearman,TX,854.0,Hybrid,Yes,No,Unknown,Unknown,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,9836,3
4841070,Splendora Independent School District,Public,Splendora,TX,4057.0,Hybrid,Yes,Yes,Yes,No,Pending,Pending,Pending,Pending,Pending,Pending,607391,72
4841280,Springtown Independent School District,Public,Springtown,TX,3610.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,142878,34
4841280,Springtown Independent School District,Public,Springtown,TX,3610.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,69984,14
4800002,Spur Independent School District,Public,Spur,TX,247.0,Hybrid,Unknown,Unknown,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Unknown,Closed 6-14 days,Yes,2211,1
4800002,Spur Independent School District,Public,Spur,TX,247.0,Hybrid,Unknown,Unknown,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Unknown,Closed 6-14 days,Yes,762,1
4841340,Spurger Independent School District,Public,Spurger,TX,395.0,Online Only,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,21672,1
4841350,Stafford Municipal School District,Public,Stafford,TX,3613.0,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,811688,83
4841350,Stafford Municipal School District,Public,Stafford,TX,3613.0,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,4713325,711
4841400,Stamford Independent School District,Public,Stamford,TX,680.0,Hybrid,Yes,Yes,Unknown,No,Required for all staff,Required for all students,Unknown,Unknown,Closed indefinitely,Yes,5658,1
4841400,Stamford Independent School District,Public,Stamford,TX,680.0,Hybrid,Yes,Yes,Unknown,No,Required for all staff,Required for all students,Unknown,Unknown,Closed indefinitely,Yes,20083,4
4841430,Stanton Independent School District,Public,Stanton,TX,991.0,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,36664,22
4841430,Stanton Independent School District,Public,Stanton,TX,991.0,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,5771,2
4823760,Huckabay Independent School District,Public,Stephenville,TX,230.0,Other,Yes,Yes,Yes,Yes,Not required,Not required,Yes,No,Never closed,Yes,18360,6
4823760,Huckabay Independent School District,Public,Stephenville,TX,230.0,Other,Yes,Yes,Yes,Yes,Not required,Not required,Yes,No,Never closed,Yes,42698,9
4841520,Stephenville Independent School District,Public,Stephenville,TX,3735.0,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,42698,9
4842720,Three Way Independent School District,Public,Stephenville,TX,165.0,Hybrid,Yes,No,Yes,Unknown,Required for all staff,Required for middle/high school students only,Yes,Unknown,Never closed,Unknown,42698,9
4842720,Three Way Independent School District,Public,Stephenville,TX,165.0,Hybrid,Yes,No,Yes,Unknown,Required for all staff,Required for middle/high school students only,Yes,Unknown,Never closed,Unknown,9128,1
4841610,Stockdale Independent School District,Public,Stockdale,TX,849.0,On Premises,Yes,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,51070,3
4841670,Stratford Independent School District,Public,Stratford,TX,579.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,No,Never closed,Yes,7287,4
4841670,Stratford Independent School District,Public,Stratford,TX,579.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,No,Never closed,Yes,3022,1
4841700,Strawn Independent School District,Public,Strawn,TX,165.0,Hybrid,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,29189,16
4841760,Sudan Independent School District,Public,Sudan,TX,598.0,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,12893,15
4819650,Fort Bend Independent School District,Public,Sugar Land,TX,77360.0,Hybrid,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Unknown,811688,83
4841850,Sundown Independent School District,Public,Sundown,TX,709.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,23021,33
4841880,Sunnyvale Independent School District,Public,Sunnyvale,TX,1533.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2635516,432
4841910,Sunray Independent School District,Public,Sunray,TX,574.0,Hybrid,Yes,Pending,Pending,Pending,Not required,Not required,Unknown,Yes,Unknown,Yes,20940,7
4841910,Sunray Independent School District,Public,Sunray,TX,574.0,Hybrid,Yes,Pending,Pending,Pending,Not required,Not required,Unknown,Yes,Unknown,Yes,3022,1
4842000,Sweet Home Independent School District,Public,Sweet Home,TX,147.0,Hybrid,Yes,Yes,Yes,Yes,Not required,Required for middle/high school students only,No,Unknown,Never closed,Yes,20154,8
4842030,Sweetwater Independent School District,Public,Sweetwater,TX,2001.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,3830,3
4842030,Sweetwater Independent School District,Public,Sweetwater,TX,2001.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,14714,3
4842060,Taft Independent School District,Public,Taft,TX,1122.0,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,66730,24
4842090,Tahoka Independent School District,Public,Tahoka,TX,592.0,Hybrid,Unknown,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,5951,5
4842090,Tahoka Independent School District,Public,Tahoka,TX,592.0,Hybrid,Unknown,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12337,9
4842240,Tatum Independent School District,Public,Tatum,TX,1694.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,23194,12
4842240,Tatum Independent School District,Public,Tatum,TX,1694.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,54406,24
4842280,Taylor Independent School District,Public,Taylor,TX,3368.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Yes,1273954,84
4842280,Taylor Independent School District,Public,Taylor,TX,3368.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Yes,590551,37
4816980,Dew Independent School District,Public,Teague,TX,160.0,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,19717,7
4842300,Teague Independent School District,Public,Teague,TX,1319.0,Hybrid,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,19717,7
4842360,Tenaha Independent School District,Public,Tenaha,TX,533.0,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Closed indefinitely,Unknown,23194,12
4842360,Tenaha Independent School District,Public,Tenaha,TX,533.0,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Closed indefinitely,Unknown,25274,16
4842450,Terrell Independent School District,Public,Terrell,TX,4680.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,98594,24
4842450,Terrell Independent School District,Public,Terrell,TX,4680.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,136154,32
4842510,Texas City Independent School District,Public,Texas City,TX,8542.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,342139,34
4842540,Texhoma Independent School District,Public,Texhoma,TX,135.0,On Premises,No,No,No,No,Unknown,Not required,Yes,No,Unknown,Yes,5399,5
4842540,Texhoma Independent School District,Public,Texhoma,TX,135.0,On Premises,No,No,No,No,Unknown,Not required,Yes,No,Unknown,Yes,3022,1
4842570,Texline Independent School District,Public,Texline,TX,183.0,On Premises,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,7287,4
4842630,Thorndale Independent School District,Public,Thorndale,TX,623.0,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for middle/high school students only,Unknown,Unknown,Unknown,Yes,24823,4
4842630,Thorndale Independent School District,Public,Thorndale,TX,623.0,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for middle/high school students only,Unknown,Unknown,Unknown,Yes,590551,37
4842660,Thrall Independent School District,Public,Thrall,TX,710.0,Hybrid,Unknown,Yes,Yes,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,24823,4
4842660,Thrall Independent School District,Public,Thrall,TX,710.0,Hybrid,Unknown,Yes,Yes,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,590551,37
4842690,Three Rivers Independent School District,Public,Three Rivers,TX,683.0,Unknown,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,12207,4
4842840,Timpson Independent School District,Public,Timpson,TX,711.0,Unknown,Unknown,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,25274,16
4842870,Tioga Independent School District,Public,Tioga,TX,705.0,On Premises,No,Unknown,Yes,Unknown,Required for all staff,Required for middle/high school students only,Unknown,Yes,Never closed,Yes,136212,66
4842900,Tolar Independent School District,Public,Tolar,TX,788.0,Other,No,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,61643,20
4842930,Tom Bean Independent School District,Public,Tom Bean,TX,635.0,Hybrid,Yes,Unknown,No,Yes,Pending,Pending,Pending,Pending,Pending,Pending,136212,66
4842960,Tomball Independent School District,Public,Tomball,TX,15544.0,Hybrid,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,4713325,711
4842960,Tomball Independent School District,Public,Tomball,TX,15544.0,Hybrid,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,607391,72
4842990,Tornillo Independent School District,Public,Tornillo,TX,1148.0,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,839238,385
4843110,Trent Independent School District,Public,Trent,TX,200.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,3830,3
4843110,Trent Independent School District,Public,Trent,TX,200.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,20083,4
4843110,Trent Independent School District,Public,Trent,TX,200.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,14714,3
4843110,Trent Independent School District,Public,Trent,TX,200.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,138034,54
4843140,Trenton Independent School District,Public,Trenton,TX,683.0,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,35514,13
4843140,Trenton Independent School District,Public,Trenton,TX,683.0,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,136212,66
4843170,Trinidad Independent School District,Public,Trinidad,TX,181.0,Online Only,Unknown,Unknown,No,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,82737,29
4843200,Trinity Independent School District,Public,Trinity,TX,1228.0,Hybrid,Yes,Unknown,Yes,No,Pending,Pending,Pending,Pending,Pending,Pending,14651,2
4843200,Trinity Independent School District,Public,Trinity,TX,1228.0,Hybrid,Yes,Unknown,Yes,No,Pending,Pending,Pending,Pending,Pending,Pending,72971,19
4843230,Troup Independent School District,Public,Troup,TX,1072.0,Hybrid,Yes,Unknown,Unknown,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,232751,112
4843260,Troy Independent School District,Public,Troy,TX,1510.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Closed indefinitely,Yes,17297,10
4843320,Tulia Independent School District,Public,Tulia,TX,1077.0,Hybrid,Yes,Unknown,Yes,Yes,Not required,Not required,Yes,Yes,Never closed,Yes,7397,3
4843470,Tyler Independent School District,Public,Tyler,TX,19147.0,Hybrid,Unknown,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,232751,112
4843680,Utopia Independent School District,Public,Utopia,TX,231.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,51584,13
4843680,Utopia Independent School District,Public,Utopia,TX,231.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,3452,3
4843680,Utopia Independent School District,Public,Utopia,TX,231.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,26741,20
4843740,Valentine Independent School District,Public,Valentine,TX,39.0,On Premises,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,No,2274,0
4843760,Valley Mills Independent School District,Public,Valley Mills,TX,629.0,On Premises,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,256623,87
4843920,Van Independent School District,Public,Van,TX,2484.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,82737,29
4843920,Van Independent School District,Public,Van,TX,2484.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,232751,112
4843920,Van Independent School District,Public,Van,TX,2484.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,56590,14
4843890,Van Alstyne Independent School District,Public,Van Alstyne,TX,1670.0,Hybrid,Yes,Yes,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,136212,66
4843950,Van Vleck Independent School District,Public,Van Vleck,TX,1037.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Unknown,36643,19
4824150,Industrial Independent School District,Public,Vanderbilt,TX,1160.0,Other,Yes,Unknown,Unknown,Yes,Not required,Required for all students,Yes,Unknown,Never closed,Yes,14760,2
4824150,Industrial Independent School District,Public,Vanderbilt,TX,1160.0,Other,Yes,Unknown,Unknown,Yes,Not required,Required for all students,Yes,Unknown,Never closed,Yes,92084,22
4843980,Vega Independent School District,Public,Vega,TX,314.0,Hybrid,Yes,Yes,No,No,Pending,Pending,Pending,Pending,Pending,Pending,18546,15
4843980,Vega Independent School District,Public,Vega,TX,314.0,Hybrid,Yes,Yes,No,No,Pending,Pending,Pending,Pending,Pending,Pending,2112,1
4844010,Venus Independent School District,Public,Venus,TX,2227.0,Hybrid,Unknown,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,175817,36
4844040,Veribest Independent School District,Public,Veribest,TX,274.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,119200,41
4844110,Vernon Independent School District,Public,Vernon,TX,2104.0,Hybrid,Yes,Yes,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Pending,1155,1
4844110,Vernon Independent School District,Public,Vernon,TX,2104.0,Hybrid,Yes,Yes,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Pending,12769,7
4833270,Nursery Independent School District,Public,Victoria,TX,133.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,92084,22
4844150,Victoria Independent School District,Public,Victoria,TX,14200.0,Hybrid,Yes,Yes,Yes,Yes,Unknown,Pending,Pending,Pending,Pending,Yes,92084,22
4844160,Vidor Independent School District,Public,Vidor,TX,4745.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,35529,16
4844160,Vidor Independent School District,Public,Vidor,TX,4745.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,83396,15
4810910,Bosqueville Independent School District,Public,Waco,TX,714.0,Hybrid,Unknown,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,256623,87
4814970,Connally Independent School District,Public,Waco,TX,2441.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Yes,256623,87
4820610,Gholson Independent School District,Public,Waco,TX,256.0,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Pending,Yes,Never closed,Yes,256623,87
4822140,Hallsburg Independent School District,Public,Waco,TX,170.0,Hybrid,No,Unknown,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,256623,87
4826280,La Vega Independent School District,Public,Waco,TX,3016.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,256623,87
4844280,Waco Independent School District,Public,Waco,TX,14233.0,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,256623,87
4844310,Waelder Independent School District,Public,Waelder,TX,325.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,No,20837,8
4844410,Wall Independent School District,Public,Wall,TX,1160.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Unknown,Never closed,Yes,119200,41
4844430,Waller Independent School District,Public,Waller,TX,6258.0,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,4713325,711
4844430,Waller Independent School District,Public,Waller,TX,6258.0,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,55246,9
4844470,Brazos Independent School District,Public,Wallis,TX,855.0,Hybrid,Yes,No,No,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,811688,83
4844580,Warren Independent School District,Public,Warren,TX,1343.0,Hybrid,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,57602,21
4844580,Warren Independent School District,Public,Warren,TX,1343.0,Hybrid,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,21672,1
4844670,Waskom Independent School District,Public,Waskom,TX,897.0,Hybrid,No,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,66553,13
4844710,Water Valley Independent School District,Public,Water Valley,TX,314.0,Hybrid,Unknown,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Yes,119200,41
4844730,Waxahachie Independent School District,Public,Waxahachie,TX,9337.0,On Premises,Yes,Unknown,No,Unknown,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,184826,45
4820370,Garner Independent School District,Public,Weatherford,TX,209.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Unknown,Yes,Yes,Closed 1-5 days,Yes,142878,34
4834500,Peaster Independent School District,Public,Weatherford,TX,1233.0,Hybrid,Yes,No,Unknown,Unknown,Required for all staff,Unknown,Unknown,Yes,Never closed,Yes,142878,34
4844800,Weatherford Independent School District,Public,Weatherford,TX,8094.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,142878,34
4844820,Weimar Independent School District,Public,Weimar,TX,623.0,On Premises,No,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,25346,7
4844820,Weimar Independent School District,Public,Weimar,TX,623.0,On Premises,No,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,20154,8
4844960,Weslaco Independent School District,Public,Weslaco,TX,19458.0,Hybrid,Unknown,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Unknown,868707,821
4845040,West Independent School District,Public,West,TX,1282.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,36649,7
4845040,West Independent School District,Public,West,TX,1282.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,256623,87
4817760,Eanes Independent School District,Public,West Lake Hills,TX,7841.0,Online Only,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,1273954,84
4845210,Westbrook Independent School District,Public,Westbrook,TX,244.0,Hybrid,Yes,Unknown,Yes,Yes,Not required,Required for all students,Yes,Yes,Never closed,Yes,8545,3
4845240,Westhoff Independent School District,Public,Westhoff,TX,70.0,On Premises,No,No,No,No,Pending,Pending,Pending,Pending,Pending,Pending,20160,19
4845380,Wharton Independent School District,Public,Wharton,TX,2512.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Not required,Yes,Unknown,Never closed,Yes,41556,18
4825290,Kelton Independent School District,Public,Wheeler,TX,85.0,On Premises,No,Yes,No,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Yes,5056,2
4845420,Wheeler Independent School District,Public,Wheeler,TX,450.0,Hybrid,Yes,Yes,Yes,Yes,Not required,Not required,Yes,Yes,Closed 6-14 days,Yes,21886,10
4845420,Wheeler Independent School District,Public,Wheeler,TX,450.0,Hybrid,Yes,Yes,Yes,Yes,Not required,Not required,Yes,Yes,Closed 6-14 days,Yes,5056,2
4845450,White Deer Independent School District,Public,White Deer,TX,355.0,Online Only,Yes,Yes,Yes,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,21886,10
4845480,White Oak Independent School District,Public,White Oak,TX,1512.0,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,123945,52
4845600,Whitehouse Independent School District,Public,Whitehouse,TX,4843.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,232751,112
4845630,Whitesboro Independent School District,Public,Whitesboro,TX,1565.0,Hybrid,Yes,Unknown,Pending,Pending,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,No,136212,66
4845670,Whitewright Independent School District,Public,Whitewright,TX,832.0,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,35514,13
4845670,Whitewright Independent School District,Public,Whitewright,TX,832.0,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,136212,66
4845690,Whitharral Independent School District,Public,Whitharral,TX,190.0,On Premises,Yes,No,Yes,No,Pending,Pending,Pending,Pending,Pending,Pending,23021,33
4845720,Whitney Independent School District,Public,Whitney,TX,1510.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for middle/high school students only,Unknown,Yes,Closed indefinitely,Yes,36649,7
4814130,City View Independent School District,Public,Wichita Falls,TX,950.0,Hybrid,Yes,No,No,No,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,132230,76
4845840,Wildorado Independent School District,Public,Wildorado,TX,145.0,Hybrid,Yes,Yes,No,Yes,Not required,Not required,Yes,Yes,Never closed,Yes,18546,15
4845840,Wildorado Independent School District,Public,Wildorado,TX,145.0,Hybrid,Yes,Yes,No,Yes,Not required,Not required,Yes,Yes,Never closed,Yes,2112,1
4845840,Wildorado Independent School District,Public,Wildorado,TX,145.0,Hybrid,Yes,Yes,No,Yes,Not required,Not required,Yes,Yes,Never closed,Yes,137713,42
4845900,Willis Independent School District,Public,Willis,TX,7531.0,Online Only,Unknown,Yes,Yes,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,607391,72
4845900,Willis Independent School District,Public,Willis,TX,7531.0,Online Only,Unknown,Yes,Yes,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,28859,6
4845950,Wills Point Independent School District,Public,Wills Point,TX,2431.0,Online Only,No,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,136154,32
4845950,Wills Point Independent School District,Public,Wills Point,TX,2431.0,Online Only,No,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,56590,14
4845990,Wilson Independent School District,Public,Wilson,TX,108.0,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5951,5
4800009,Wimberley Independent School District,Public,Wimberley,TX,2398.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,230191,36
4846170,Wink-Loving Independent School District,Public,Wink,TX,460.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for middle/high school students only,Unknown,Yes,Never closed,Yes,169,0
4846170,Wink-Loving Independent School District,Public,Wink,TX,460.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for middle/high school students only,Unknown,Yes,Never closed,Yes,8010,4
4846200,Winnsboro Independent School District,Public,Winnsboro,TX,1528.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,No,Never closed,Yes,10725,4
4846200,Winnsboro Independent School District,Public,Winnsboro,TX,1528.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,No,Never closed,Yes,37084,41
4846200,Winnsboro Independent School District,Public,Winnsboro,TX,1528.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,No,Never closed,Yes,45539,31
4846230,Winona Independent School District,Public,Winona,TX,1099.0,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,No,232751,112
4846260,Winters Independent School District,Public,Winters,TX,439.0,Hybrid,Yes,No,Unknown,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,No,10264,7
4846260,Winters Independent School District,Public,Winters,TX,439.0,Hybrid,Yes,No,Unknown,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,No,138034,54
4846350,Wolfe City Independent School District,Public,Wolfe City,TX,729.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,35514,13
4846350,Wolfe City Independent School District,Public,Wolfe City,TX,729.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,98594,24
4819830,Frenship Independent School District,Public,Wolfforth,TX,9999.0,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,23021,33
4819830,Frenship Independent School District,Public,Wolfforth,TX,9999.0,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,310569,179
4846380,Woodsboro Independent School District,Public,Woodsboro,TX,449.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Pending,Yes,6948,6
4846410,Woodson Independent School District,Public,Woodson,TX,148.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Yes,9366,4
